Gene,LogFC,Adjusted_PValue,Regulation
BTG2,-1.3424397,5.6256431424156565e-08,Downregulated
NFKB2,1.715295,5.6518610218344824e-08,Upregulated
VCP,1.422404,5.7924124319327414e-08,Upregulated
LAYN,2.6922464,5.8613218935905755e-08,Upregulated
SRSF2,1.0805451,5.973688297411601e-08,Upregulated
SNRPE,1.1111268,6.792331093680418e-08,Upregulated
MAP1LC3B,1.334475,7.218799023250115e-08,Upregulated
PSMD2,1.3933853,9.8758889037039e-08,Upregulated
MICOS10,1.0782356,1.0663797241701294e-07,Upregulated
COX17,1.403036,1.095006293974443e-07,Upregulated
WARS,2.2239678,1.1061003685179659e-07,Upregulated
VASP,1.4769841,1.1061003685179659e-07,Upregulated
INSIG1,2.4279997,1.1349344940101966e-07,Upregulated
BUD23,1.4003438,1.1700396406326381e-07,Upregulated
PTPN6,1.8533084,1.2828205105189793e-07,Upregulated
IL2RB,1.1882595,1.5723827082576683e-07,Upregulated
NDUFA6,1.1967094,1.5834199327115042e-07,Upregulated
LMAN2,1.195486,1.5847005864386242e-07,Upregulated
ISG15,1.202276,1.611984768723143e-07,Upregulated
MRPL20,1.0568267,1.6704487994758217e-07,Upregulated
PSMC1,1.2358506,1.7123652210499092e-07,Upregulated
POLR2L,1.0635285,1.9106779997333695e-07,Upregulated
CHMP2A,1.1389875,2.0987742828825356e-07,Upregulated
YARS,1.8904396,2.119970576411034e-07,Upregulated
ARHGDIA,1.1038035,2.2840598273912463e-07,Upregulated
PSMC4,1.4701872,2.4359583901426677e-07,Upregulated
SDF4,1.3898476,2.568317145882745e-07,Upregulated
SYNCRIP,1.3072244,2.730509980957004e-07,Upregulated
PHPT1,1.7396787,3.245636029058063e-07,Upregulated
IDI1,1.5053616,3.478136459823068e-07,Upregulated
UQCRQ,1.1318955,3.7546219742796666e-07,Upregulated
ADRM1,1.2877357,3.7579348505541146e-07,Upregulated
HERPUD1,1.3028563,3.769810910109439e-07,Upregulated
TMEM258,1.0107632,3.8248154278858535e-07,Upregulated
EIF3J,1.2181405,3.8835506738814477e-07,Upregulated
GIMAP1,-1.8444667,3.96703888105909e-07,Downregulated
SRM,1.2955918,4.169924053311796e-07,Upregulated
MAGOH,1.141494,4.291577347235788e-07,Upregulated
FAS,2.1803107,4.4100597674458306e-07,Upregulated
RIPOR2,-1.5442115,5.408801339835111e-07,Downregulated
SURF2,1.6382047,5.670236286848334e-07,Upregulated
DCTPP1,1.8233329,5.688195692754576e-07,Upregulated
GADD45GIP1,1.0251338,5.931747824658393e-07,Upregulated
ATP6V0B,1.0701542,7.18348508936459e-07,Upregulated
SCAF11,-1.023421,7.483424875188046e-07,Downregulated
LAMTOR5,1.0978963,8.100664809686241e-07,Upregulated
RAB8B,1.8551456,8.709273145892924e-07,Upregulated
NDUFA12,1.0064366,8.829068868840319e-07,Upregulated
SAT1,1.0332168,9.635266314598126e-07,Upregulated
CFAP298,1.3280674,9.91706776155749e-07,Upregulated
TUBA4A,1.3053727,9.91706776155749e-07,Upregulated
RNF145,1.4287767,1.0502772510269652e-06,Upregulated
LGALS1,1.4730549,1.1000748533812008e-06,Upregulated
TMEM208,1.3693362,1.1338081666894692e-06,Upregulated
BOLA3,1.6681365,1.1424153407224996e-06,Upregulated
DNAJC3,1.7132708,1.1469007511844264e-06,Upregulated
SRSF9,1.0114869,1.1794557490341411e-06,Upregulated
PSMD13,1.211817,1.2247949113109132e-06,Upregulated
PSMB2,1.321191,1.240405267462666e-06,Upregulated
XBP1,1.4549139,1.259874752460503e-06,Upregulated
SNRPF,1.0625525,1.2639263213488157e-06,Upregulated
TPM4,1.2971604,1.371456997451712e-06,Upregulated
EHD4,2.068367,1.3868836585318664e-06,Upregulated
NDUFB6,1.5032423,1.9648258265237934e-06,Upregulated
H1FX,-1.0846968,2.6851672505583223e-06,Downregulated
CYCS,1.0618246,2.988308840378032e-06,Upregulated
PPA1,1.0364257,3.023338578986772e-06,Upregulated
ID3,1.9411904,3.071776351208707e-06,Upregulated
ITGB1BP1,1.6045989,3.134228758041287e-06,Upregulated
PRMT1,1.1850085,3.2709273258005095e-06,Upregulated
PSMB8,1.0038157,3.5505898708206507e-06,Upregulated
MLEC,1.2094263,3.569368937762201e-06,Upregulated
ETHE1,1.4689865,3.5907853223314075e-06,Upregulated
DESI1,1.9001036,3.607270207386754e-06,Upregulated
GBP5,1.2817546,3.623846740561623e-06,Upregulated
GPATCH4,1.5875162,3.9786387802794726e-06,Upregulated
RANBP1,1.1428254,4.188752570061236e-06,Upregulated
NDUFAB1,1.0981334,4.252736216779588e-06,Upregulated
HSPA9,1.0629632,4.252736216779588e-06,Upregulated
CYSTM1,1.8997239,4.422780313978057e-06,Upregulated
LUZP1,1.8231773,4.468015917124884e-06,Upregulated
IL10RA,-1.5669588,4.883118957932502e-06,Downregulated
UNC119,2.1278841,5.069103378513824e-06,Upregulated
SH2D2A,1.4733036,5.071266651386982e-06,Upregulated
ACAT2,1.643129,5.178837722082099e-06,Upregulated
FUNDC2,1.3599422,5.217173422934704e-06,Upregulated
MRPL33,1.3150015,5.3402460239067495e-06,Upregulated
LY6E,1.0514708,5.415857076666287e-06,Upregulated
EPB41,-1.1693023,5.415857076666287e-06,Downregulated
MCRIP1,1.4587862,5.47109719855525e-06,Upregulated
RBM17,1.1281192,5.4963954011115315e-06,Upregulated
TKT,1.0336262,5.597499857271103e-06,Upregulated
TRAF1,1.5433372,6.291435748398945e-06,Upregulated
CKLF,1.0324073,7.579689238248963e-06,Upregulated
PRDX5,1.0245694,7.635287204767197e-06,Upregulated
C17orf49,1.1460404,7.670297884860455e-06,Upregulated
TAP1,1.3447434,7.79556877813547e-06,Upregulated
HSPB1,1.4497786,7.799304023553505e-06,Upregulated
HMGCS1,2.8738759,8.492086256078697e-06,Upregulated
BAG1,1.3089662,1.057904015537617e-05,Upregulated
SGK1,2.8546362,1.1798932528945022e-05,Upregulated
RNASET2,-1.1041251,1.2745291561849527e-05,Downregulated
METRNL,2.6263618,1.2768268616145781e-05,Upregulated
TXNL4A,1.0783584,1.3343805246719511e-05,Upregulated
S100A4,-1.2279316,1.3703578632688744e-05,Downregulated
CAMK4,-1.7349653,1.418618354802795e-05,Downregulated
ADD3,-2.0663857,1.4942468128897361e-05,Downregulated
TSC22D3,-1.3991338,1.523150660712461e-05,Downregulated
IFI6,1.2804601,1.61100487914648e-05,Upregulated
PSMD1,1.3769882,1.6919805869858087e-05,Upregulated
MRPS12,1.2264802,1.702943775778029e-05,Upregulated
PSMD11,1.2074599,1.742914582109076e-05,Upregulated
PDAP1,1.0802032,1.742914582109076e-05,Upregulated
MTFP1,2.1044118,1.959029512227426e-05,Upregulated
SNF8,1.2376051,2.2517041788011502e-05,Upregulated
FUBP1,1.2132673,2.3215694731208512e-05,Upregulated
EWSR1,1.4172517,2.419154180835687e-05,Upregulated
PUM3,1.4531109,2.526900822362758e-05,Upregulated
TOMM22,1.2481482,2.6639128284916168e-05,Upregulated
IL7R,-1.3937024,2.792251716028686e-05,Downregulated
TRAM1,1.0018629,2.87679172272766e-05,Upregulated
ZNRD2,1.4134803,3.182808008651859e-05,Upregulated
NHP2,1.0914603,3.421762406094166e-05,Upregulated
HNRNPAB,1.1485268,3.772478963530582e-05,Upregulated
AP2S1,1.0435171,3.828288734093986e-05,Upregulated
MRPL3,1.4542227,4.414776588834234e-05,Upregulated
PRDX4,2.1228507,4.428433793003412e-05,Upregulated
SNHG32,-1.3481667,4.870002487828372e-05,Downregulated
PDIA4,1.8811641,5.036125927860571e-05,Upregulated
CISD2,1.4286478,5.576676914898615e-05,Upregulated
PIK3R1,-1.1569272,5.5938156405084006e-05,Downregulated
TIMM13,1.283211,6.105640938111459e-05,Upregulated
SOCS1,1.0207056,6.105640938111459e-05,Upregulated
DNAJC15,1.1500375,7.957709166604489e-05,Upregulated
ILF3,1.011199,8.021927353699965e-05,Upregulated
ATF4,1.0419462,8.404728645144923e-05,Upregulated
EMB,-1.14876,9.021000625311122e-05,Downregulated
SLC1A5,2.8730793,9.350942314284e-05,Upregulated
PMAIP1,1.8695476,9.916228041023425e-05,Upregulated
KLF3,-1.7370826,9.916228041023425e-05,Downregulated
MRPL14,1.1724179,0.00010264756470382927,Upregulated
IQGAP2,-1.2503749,0.00010423732556639368,Downregulated
GNG2,1.4362006,0.0001057855416927501,Upregulated
PITPNC1,1.6203434,0.00011792210011949348,Upregulated
CDC123,1.27675,0.00012256051449449035,Upregulated
MRPL1,1.5754339,0.00012737318599784984,Upregulated
ELOC,1.0824624,0.00012775689348199938,Upregulated
ARF4,1.3429747,0.00012837734079544928,Upregulated
PAK1IP1,1.8848664,0.00013283936034165335,Upregulated
TSPYL2,1.3980825,0.00013397347549400554,Upregulated
MRPL52,1.0302175,0.00013511713853205657,Upregulated
KLF13,-1.1823364,0.00013979776530423659,Downregulated
YIF1A,1.547493,0.00014367430990181856,Upregulated
LINC01943,1.439678,0.00015154954049764746,Upregulated
SEC13,1.8410989,0.00017247721152843654,Upregulated
RNH1,1.0808746,0.0001765761579438532,Upregulated
HSBP1,1.1910495,0.00020150675510767084,Upregulated
TMED2,1.1643449,0.00020150675510767084,Upregulated
HIVEP3,3.095081,0.00021830940701037308,Upregulated
EIF4A3,1.2705457,0.0002185650976739577,Upregulated
SSR3,1.0953923,0.0002351667945174024,Upregulated
POLR2K,1.0230607,0.0002351667945174024,Upregulated
LINC01089,-2.2555237,0.00024124614844946873,Downregulated
EBNA1BP2,1.610935,0.00025643532523012176,Upregulated
NUTF2,1.3074164,0.00025643532523012176,Upregulated
EIF4G1,1.3576174,0.0002709250913736295,Upregulated
YWHAE,1.0011313,0.00027381874735695773,Upregulated
CYTOR,1.1138756,0.0002911270589461478,Upregulated
HSPA4,1.4217525,0.00029267810701272625,Upregulated
PSMC2,1.3354328,0.00029267810701272625,Upregulated
PTPN7,1.0745865,0.00029267810701272625,Upregulated
