Gene,LogFC,Adjusted_PValue,Regulation
IL27RA,1.4052169,2.4178246766792962e-08,Upregulated
SELL,-1.0470958,2.5725971664151912e-08,Downregulated
GNG2,1.6071198,2.685004443751641e-08,Upregulated
NUTF2,1.6493632,3.014627677938333e-08,Upregulated
ITGB1BP1,1.7077669,3.077130103182408e-08,Upregulated
SH2D2A,1.6289889,3.2242899680218785e-08,Upregulated
LUZP1,1.8638736,3.3759796775742175e-08,Upregulated
GPATCH4,1.6010902,3.448166000993157e-08,Upregulated
SRSF9,1.024114,3.599582977455615e-08,Upregulated
LRRC32,3.1897783,3.719016594781045e-08,Upregulated
RHEB,1.4457443,3.831827961994002e-08,Upregulated
YIF1A,1.8133053,4.0778466623885425e-08,Upregulated
DGKE,1.71337,4.377322109568498e-08,Upregulated
PIK3R1,-1.4358169,4.377322109568498e-08,Downregulated
TIMM13,1.3966721,4.7078417927582264e-08,Upregulated
AKR1A1,1.5740672,4.967692963233572e-08,Upregulated
MRPL33,1.421685,5.111149135745099e-08,Upregulated
SNRPF,1.0594909,5.661529102399731e-08,Upregulated
PUM3,1.647393,5.842887402705074e-08,Upregulated
PSMD11,1.2878882,5.842887402705074e-08,Upregulated
FUBP1,1.2983677,7.598488722880862e-08,Upregulated
UBE2N,1.147305,8.190497059702118e-08,Upregulated
ANXA2,1.1311513,8.811592118071101e-08,Upregulated
BUD23,1.3077363,9.825168755413631e-08,Upregulated
NOLC1,1.7968755,1.0771894094213738e-07,Upregulated
FUNDC2,1.4173777,1.2633390631334396e-07,Upregulated
UQCRQ,1.0678577,1.290358119805762e-07,Upregulated
CHMP2A,1.0858048,1.34353841335834e-07,Upregulated
MCRIP1,1.4424962,1.3886932417552522e-07,Upregulated
ZNRD1,1.3661668,1.4211430291619412e-07,Upregulated
NDUFA6,1.1132388,1.6366135903952386e-07,Upregulated
SPPL2A,1.769884,1.86675807165233e-07,Upregulated
TMCO1,1.037561,1.953132346809715e-07,Upregulated
GNL3,1.4764118,1.995583441499326e-07,Upregulated
GBP1,1.4456749,2.1249856464341134e-07,Upregulated
COX20,1.3104117,2.3697380800486632e-07,Upregulated
NDUFB7,1.0079978,2.3788802958930842e-07,Upregulated
TXNL1,1.2036692,2.578789443640077e-07,Upregulated
H2AFY,1.035614,2.6242075904467875e-07,Upregulated
LAPTM4B,2.7415273,2.7373443047187187e-07,Upregulated
GLS,1.1979916,3.005306297665726e-07,Upregulated
H1FX,-1.076206,3.152671910862086e-07,Downregulated
ATP6V0B,1.0108391,3.222477884058741e-07,Upregulated
TRAM1,1.0769078,3.2495410017816693e-07,Upregulated
MSMO1,2.3130372,3.2683737692115616e-07,Upregulated
BAG1,1.3589965,3.545218490607041e-07,Upregulated
PGAM1,1.2256488,3.625980619640912e-07,Upregulated
SNHG32,-1.5600647,3.654001216247961e-07,Downregulated
POLR2K,1.1917505,3.744406767493134e-07,Upregulated
PDCD10,1.1951848,3.758791537257555e-07,Upregulated
PUF60,1.168101,4.271078540091099e-07,Upregulated
TOMM5,1.1381973,4.271078540091099e-07,Upregulated
RNASET2,-1.1507424,4.271078540091099e-07,Downregulated
PSMD9,1.2643392,4.5622873722668214e-07,Upregulated
CAMK4,-1.8711144,6.042005022896874e-07,Downregulated
HMGCS1,2.8039804,6.336215791931382e-07,Upregulated
LAYN,2.537887,6.412882078590526e-07,Upregulated
PSMB7,1.2505692,6.699116315783502e-07,Upregulated
FDFT1,1.4342065,7.086681317127855e-07,Upregulated
KDELR2,1.3346202,7.194833303155581e-07,Upregulated
IL10RA,-1.5301865,8.511719868673339e-07,Downregulated
TRAF1,1.5329857,1.0200100273190966e-06,Upregulated
PDE3B,-2.0712569,1.0251164340734854e-06,Downregulated
PHB2,1.0417057,1.0354075762212203e-06,Upregulated
IER5,1.7695727,1.051033476312135e-06,Upregulated
PHPT1,1.5797749,1.1027143255058231e-06,Upregulated
STRAP,1.2502408,1.1075408119149242e-06,Upregulated
SSR3,1.1769603,1.1597450697103004e-06,Upregulated
SLIRP,1.1376666,1.1669918634045927e-06,Upregulated
RNH1,1.140478,1.2075974851209025e-06,Upregulated
GBP4,1.5040662,1.2143879450699767e-06,Upregulated
ERG28,1.6937554,1.313125557831815e-06,Upregulated
MTHFD2,1.6334608,1.8679220250468777e-06,Upregulated
ATP5PB,1.0052285,1.8887270437080873e-06,Upregulated
EPB41,-1.0909907,2.0350443994968177e-06,Downregulated
LSP1,-1.0141536,2.1084291995542295e-06,Downregulated
LINC01089,-2.8650188,2.286486202776248e-06,Downregulated
NXT1,1.579678,2.3330857817602465e-06,Upregulated
IRF7,1.4825569,2.3330857817602465e-06,Upregulated
YARS,1.6972905,2.364583559275296e-06,Upregulated
APOBEC3G,1.7678475,2.4053555213594048e-06,Upregulated
MRPL27,1.6495092,2.4053555213594048e-06,Upregulated
XAF1,1.0634084,2.476566798556376e-06,Upregulated
EIF4G1,1.6395893,2.5282760145531252e-06,Upregulated
PTPN7,1.1268209,2.6203991207832553e-06,Upregulated
MRPL41,1.0208321,3.1129524763857757e-06,Upregulated
NDUFA2,1.0423709,3.166018285865146e-06,Upregulated
EBNA1BP2,1.7388517,3.2141603380596455e-06,Upregulated
